,school,sex,address,famsize,Medu,Fedu,studytime,schoolsup,famsup,paid,internet,romantic,freetime,goout,G3
0,0,0,1,0,4,4,2,1,0,0,0,0,3,4,6
1,0,0,1,0,1,1,2,0,1,0,1,0,3,3,6
2,0,0,1,1,1,1,2,1,0,1,1,0,3,2,10
3,0,0,1,0,4,2,3,0,1,1,1,1,2,2,15
4,0,0,1,0,3,3,2,0,1,1,0,0,3,2,10
5,0,1,1,1,4,3,2,0,1,1,1,0,4,2,15
6,0,1,1,1,2,2,2,0,0,0,1,0,4,4,11
7,0,0,1,0,4,4,2,1,1,0,0,0,1,4,6
8,0,1,1,1,3,2,2,0,1,1,1,0,2,2,19
9,0,1,1,0,3,4,2,0,1,1,1,0,5,1,15
10,0,0,1,0,4,4,2,0,1,1,1,0,3,3,9
11,0,0,1,0,2,1,3,0,1,0,1,0,2,2,12
12,0,1,1,1,4,4,1,0,1,1,1,0,3,3,14
13,0,1,1,0,4,3,2,0,1,1,1,0,4,3,11
14,0,1,1,0,2,2,3,0,1,0,1,1,5,2,16
15,0,0,1,0,4,4,1,0,1,0,1,0,4,4,14
16,0,0,1,0,4,4,3,0,1,1,1,0,2,3,14
17,0,0,1,0,3,3,2,1,1,0,0,0,3,2,10
18,0,1,1,0,3,2,1,0,1,0,1,0,5,5,5
19,0,1,1,1,4,3,1,0,0,1,1,0,1,3,10
20,0,1,1,0,4,3,2,0,0,0,1,0,4,1,15
21,0,1,1,0,4,4,1,0,1,1,1,0,4,2,15
22,0,1,1,1,4,2,2,0,0,0,1,0,5,1,16
23,0,1,1,1,2,2,2,0,1,0,1,0,4,4,12
24,0,0,0,0,2,4,3,1,1,1,1,0,3,2,8
25,0,0,1,0,2,2,1,0,1,1,1,0,2,2,8
26,0,1,1,0,2,2,1,0,1,1,1,0,2,2,11
27,0,1,1,0,4,2,1,0,0,1,1,0,2,4,15
28,0,1,1,1,3,4,2,1,1,0,1,0,3,3,11
29,0,1,1,0,4,4,2,0,1,1,1,1,4,5,11
30,0,1,1,0,4,4,2,0,1,1,1,0,4,2,12
31,0,1,1,0,4,4,2,0,1,0,1,0,3,1,17
32,0,1,0,0,4,3,2,0,1,0,1,1,5,2,16
33,0,1,1,1,3,3,2,0,0,0,1,0,3,2,12
34,0,1,1,0,3,2,1,0,1,1,1,0,4,3,15
35,0,0,1,0,2,3,1,0,1,0,0,0,5,1,6
36,0,1,1,1,4,3,3,0,1,0,1,0,4,3,18
37,0,1,0,0,4,4,3,0,1,0,1,1,4,3,15
38,0,0,0,0,3,4,3,1,1,1,1,0,3,2,11
39,0,0,0,0,2,2,1,1,1,1,0,0,3,1,13
40,0,0,1,1,2,2,2,0,1,0,1,1,3,3,11
41,0,1,1,1,4,4,1,0,1,0,1,1,4,3,12
42,0,1,1,0,4,4,2,0,1,0,1,0,3,3,18
43,0,1,1,0,2,2,1,1,1,0,1,0,4,1,11
44,0,0,1,1,2,2,2,1,0,0,1,0,3,3,9
45,0,0,1,1,4,3,2,1,1,1,1,1,2,2,6
46,0,0,1,1,3,3,2,0,1,0,1,0,3,5,11
47,0,1,1,0,4,3,4,0,0,0,1,0,2,2,20
48,0,1,1,0,4,2,2,0,1,1,0,0,3,3,14
49,0,0,1,0,4,4,2,1,1,0,1,0,4,4,7
50,0,0,1,1,2,2,2,0,1,1,1,0,3,3,13
51,0,0,1,1,4,2,2,0,1,1,1,0,3,3,13
52,0,1,1,1,4,2,1,0,0,0,0,0,5,5,10
53,0,0,1,0,4,4,1,1,1,1,1,0,3,4,11
54,0,0,1,1,3,3,1,0,0,1,1,0,3,4,13
55,0,0,1,0,2,1,2,0,0,1,1,1,3,4,10
56,0,0,1,0,4,3,2,0,1,1,1,0,3,2,15
57,0,1,1,0,4,4,2,0,1,0,0,0,2,2,15
58,0,1,1,1,1,2,2,1,1,0,1,0,3,2,9
59,0,0,1,0,4,2,2,0,1,0,1,0,2,3,16
60,0,0,0,0,4,4,2,0,1,0,0,0,4,4,11
61,0,0,1,0,1,1,1,1,1,0,1,1,5,5,11
62,0,0,1,1,1,2,2,1,0,0,1,0,4,3,9
63,0,0,1,0,4,3,3,1,1,1,1,0,4,4,9
64,0,0,1,1,4,3,2,1,0,0,1,1,4,4,10
65,0,0,1,1,4,3,2,0,1,0,1,0,4,3,15
66,0,1,1,0,4,4,4,0,1,0,1,1,3,3,12
67,0,0,1,0,3,1,4,1,1,1,1,0,3,3,6
68,0,0,0,1,2,2,2,1,1,1,1,0,1,3,8
69,0,0,0,1,3,1,4,0,1,0,1,0,4,2,16
70,0,1,1,0,3,1,4,0,1,1,1,0,3,2,15
71,0,1,1,0,4,2,4,0,0,0,1,0,3,3,10
72,0,0,0,0,1,1,2,1,1,0,1,1,3,4,5
73,0,1,1,0,3,1,1,0,0,0,0,0,3,2,14
74,0,0,1,0,3,3,2,1,1,1,1,0,3,3,11
75,0,1,1,0,4,3,2,0,1,1,1,0,3,3,10
76,0,1,1,0,4,0,4,0,0,0,1,0,4,3,10
77,0,0,1,0,2,2,4,0,0,1,1,1,2,3,11
78,0,1,1,0,2,1,1,1,1,0,1,0,5,1,10
79,0,0,1,0,3,4,2,0,1,0,1,0,4,3,5
80,0,1,1,0,2,3,1,1,1,1,1,1,2,2,12
81,0,1,1,0,2,3,3,1,0,1,1,0,3,2,11
82,0,0,1,1,3,2,2,0,1,1,1,0,4,4,6
83,0,1,1,1,2,2,2,0,0,1,1,0,3,3,15
84,0,0,1,0,1,1,2,0,1,0,1,0,3,2,10
85,0,0,1,0,4,4,2,0,0,1,1,1,4,4,8
86,0,0,1,1,2,2,2,0,1,0,0,0,3,4,6
87,0,0,1,0,4,2,3,0,1,0,1,0,3,3,14
88,0,1,1,0,2,2,2,0,0,1,1,0,4,2,10
89,0,1,1,1,4,4,2,0,1,0,0,0,1,3,7
90,0,0,1,0,3,3,3,0,1,1,1,1,3,3,8
91,0,0,1,0,4,3,1,0,0,1,1,0,5,5,18
92,0,0,1,1,3,1,2,1,1,0,0,0,3,3,6
93,0,0,1,0,4,2,2,0,1,1,1,0,3,3,10
94,0,1,1,1,2,2,4,0,1,0,1,0,3,4,14
95,0,0,0,0,1,1,4,1,1,1,1,0,1,2,10
96,0,1,0,0,4,3,1,1,1,0,1,0,3,3,15
97,0,0,1,0,2,1,2,0,1,1,0,1,3,5,10
98,0,0,1,0,4,4,1,0,0,0,1,0,3,4,14
99,0,0,1,0,4,3,3,1,1,1,1,0,3,5,8
100,0,1,1,0,4,4,1,1,1,1,1,0,5,5,5
101,0,1,1,0,4,4,3,0,1,0,1,1,4,3,17
102,0,1,1,0,4,4,1,0,1,0,1,0,3,3,14
103,0,0,1,0,3,2,2,1,1,1,1,0,3,5,6
104,0,1,1,0,3,4,2,0,1,1,1,0,4,4,18
105,0,0,1,0,3,3,4,1,0,0,0,0,3,3,11
106,0,0,1,0,2,2,4,1,1,1,1,0,1,2,8
107,0,1,1,0,3,3,3,0,1,0,1,0,3,3,18
108,0,1,0,0,4,4,4,0,1,1,1,1,3,5,13
109,0,0,1,1,4,4,3,0,1,1,1,1,4,5,16
110,0,1,1,1,4,4,1,0,0,0,1,0,5,3,19
111,0,0,0,0,3,3,3,1,1,0,1,0,1,2,10
112,0,0,1,0,2,2,2,1,0,0,1,0,1,2,13
113,0,1,1,1,4,2,1,0,0,0,1,0,5,2,19
114,0,1,0,0,2,1,2,0,0,0,1,1,4,2,9
115,0,1,1,0,4,4,2,0,1,0,1,0,4,4,16
116,0,1,1,0,4,4,2,0,1,0,0,0,4,3,14
117,0,1,1,0,3,3,1,0,0,0,1,0,4,2,13
118,0,1,0,0,1,3,2,0,1,0,1,0,2,4,8
119,0,1,1,0,3,4,1,0,0,0,1,0,4,3,13
120,0,0,1,0,1,2,2,0,0,0,1,0,2,3,15
121,0,1,1,0,2,2,4,0,1,1,1,0,5,4,15
122,0,0,1,1,2,4,2,0,1,1,1,1,2,2,13
123,0,1,1,0,4,4,1,0,1,0,1,0,4,4,13
